year,make,model,description,price,location,img_url,ad_url
1997,Toyota,hiace,,8000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/452426059_1069877637893941_2476155258255334962_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=U7ucweDe8DgQ7kNvgG5Nh1L&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBumgejISlXYXtxvIqsn0S8EfXckNbrss0ILkVl5R3xiQ&oe=66B8A6FE,https://www.facebook.com/marketplace/item/230328567668429
2013,Toyota,hiace,,21998,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/452224972_470124335731395_7404660667471564162_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=omg1dI1UKrkQ7kNvgGMaWlG&_nc_ht=scontent.fmel16-1.fna&oh=00_AYC6Tco8m5-BTM1dqCFzW0B6-wUlwiaYRs6d-ATL7cUeQA&oe=66B8B6F2,https://www.facebook.com/marketplace/item/118262899611668
2015,Toyota,hiace,,25990,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/447664432_1832557897246259_4165711962054752552_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=107&ccb=1-7&_nc_sid=454cf4&_nc_ohc=Jg5wmWvDFvsQ7kNvgFMMzet&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCBNPWFRWjcHoVbD1ke8mzE55NTZSBBCUi9evDBQIsuZw&oe=66B8BD83,https://www.facebook.com/marketplace/item/193638935020838
2015,Toyota,hiace,(high-roof),21990,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/451211220_846526533574694_4166585296539883926_n.jpg?stp=c70.0.260.260a_dst-jpg_p261x260&_nc_cat=109&ccb=1-7&_nc_sid=247b10&_nc_ohc=xV1Mi9qK65YQ7kNvgGuEjaz&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBqGeSkEUNO_32zwzF241vMN-nt37nStVx0efNcN0I2kQ&oe=66B8BA6D,https://www.facebook.com/marketplace/item/471577448914353
2017,Toyota,hiace,,24500,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/449529450_7839056106170747_7699436308557847485_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=51NktYXzdqsQ7kNvgGcguuJ&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAToiCzApvTY7pZjLo9JZgpxEvHfwvGpiJfPic_xJi91w&oe=66B8BB5E,https://www.facebook.com/marketplace/item/352530964318823
2015,Toyota,hiace,,30000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/442411098_10160627683367058_4404264802527721620_n.jpg?stp=c0.43.1050.1050a_dst-jpg_s261x260&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=A0Wif9VR2AEQ7kNvgFNhd5K&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAuW1GOqGwvVtPHwWQaI0XxqTkknfBLZVMglsY7nMqmJg&oe=66B8B989,https://www.facebook.com/marketplace/item/111953845599367
2016,Toyota,hiace,,24500,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/453533020_7655061974606123_8925349794602474477_n.jpg?stp=c0.3.261.261a_dst-jpg_p261x260&_nc_cat=105&ccb=1-7&_nc_sid=946e27&_nc_ohc=dFOazFxTrxoQ7kNvgHUGMOz&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCxaMYaiw11H5coewfiWNtL4Z6td0JLEymy_xbdqgKDWQ&oe=66B8B872,https://www.facebook.com/marketplace/item/190487582995013
2017,Toyota,hiace,,27700,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/451681715_2559054507599324_1643902333156889044_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=107&ccb=1-7&_nc_sid=454cf4&_nc_ohc=7cbTC30rLOAQ7kNvgFbKVg8&_nc_ht=scontent.fmel16-1.fna&oh=00_AYC-HhswprsegYJFYa18CZOgARw_sT3vGCGm0mX4xxwlIg&oe=66B8CDCF,https://www.facebook.com/marketplace/item/121920921283007
2019,Toyota,hiace,,27900,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450385556_501436332559492_5394421638996427303_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=ObgsrKFHlUIQ7kNvgGuIuaa&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCQ8GBGp7GUyjVR7srFwq3X3lPzKxU2rtzIcePHMOgEjg&oe=66B8AE0C,https://www.facebook.com/marketplace/item/443837275127415
2019,Toyota,hiace,,33000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/442417282_423497967279472_6417900650328509758_n.jpg?stp=c28.0.260.260a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=QJVsRYsDwMsQ7kNvgHQqaf0&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDjBMAdIY_PKpTWLPdeW_nHwUyBhLvcG0JiO6nf8EEklQ&oe=66B8D96B,https://www.facebook.com/marketplace/item/757853294884955
2024,Toyota,hiace,,57000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/448775146_3039179736224739_2593198956245781713_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=sfvs1feyvggQ7kNvgEBy5a2&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCOG_UP9BomeuaI6ga-nP-Kwmzidt0S5JoKg5J6iNBmmw&oe=66B8B06D,https://www.facebook.com/marketplace/item/459935446759711
2018,Toyota,hiace,,30999,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450903538_10227408494090939_7779497475004360359_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=ice7d0l0l4AQ7kNvgFE_OMZ&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDxsbDs9brJoBg4-xX0J5KH_SuLFZ_lQil2MWduHiKtbA&oe=66B8CFAE,https://www.facebook.com/marketplace/item/479633661658685
2017,Toyota,hiace,lwb,28000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/454246691_418353457876814_3837534086838417494_n.jpg?stp=c65.0.260.260a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=247b10&_nc_ohc=GTsk-XUa4o4Q7kNvgHdMT9P&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBSVK1B0adBwu3qu4oe395ngX_8gaKbaf4XgMGBseytJg&oe=66B8CFD5,https://www.facebook.com/marketplace/item/254289583589747
2019,Toyota,hiace,,39500,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450362105_10228879751191128_8513303414130228780_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=FgcStZ3NdTgQ7kNvgEfX2qR&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBgrfcKjk0gcKUyHF3Y2BctWiN89GopnVKki_fQGpB5Yw&oe=66B8BE13,https://www.facebook.com/marketplace/item/120784404731699
2017,Toyota,hiace,,26800,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450503280_25896697199944847_3310148595455542204_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=SgMtYWUDluoQ7kNvgE6EJ80&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAw5ywfwknvwxUSM4ItZzQXZiXALE7ejlvAy0l96Crk1A&oe=66B8B597,https://www.facebook.com/marketplace/item/891036673052755
