year,make,model,description, price ,mileage,location,ad_url,img_url
2018,Toyota,hiace,"lwb 92,000 kms - automatic"," $35,999 ",92,"Melbourne, VIC",https://www.facebook.com/marketplace/item/7937610496297149,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/442994215_2142111126165981_3664996552560892134_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_ohc=is17vZT8YdQQ7kNvgHrRfGW&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDnvqWEolNM06C4yEIO5_oYH-XEfY2Bbo5ZN-fJ4uLD3Q&oe=66B8ECEA
2018,Toyota,hiace,," $36,000 ",92,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1175345970585643,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450504024_122111211050378446_7305189828862574287_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=GOPlh_jgjxEQ7kNvgGqoMK9&_nc_ht=scontent.fmel16-1.fna&oh=00_AYChB8Ea6dWshAE7zPJLf4lf7ThrhHVHN0PC9jE9Zef_ew&oe=66B8D0F2
2016,Toyota,hiace,slwb estra high roof - 4wd," $32,000 ",94,"Melbourne, VIC",https://www.facebook.com/marketplace/item/3869585189943764,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/441570607_1016187063467890_6325164995073007341_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=8Cg06RbzcgAQ7kNvgGRrbeI&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDAto58oJwBmZXLxHpzk3kW60Ss-wNRUVVi3zmD5A896g&oe=66B8D9C5
1995,Toyota,hiace,slwb camper 4wd," $33,900 ",95,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1166923414300775,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/438304664_7476852689030273_3420780182161050042_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=8hsqNe7F_wUQ7kNvgEI_wUl&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBKx1FRIB-6Ftw1HRM1qXYMaQjAeNNdi_KjhGMiQL8Pag&oe=66B8C6ED
2019,Toyota,hiace,," $27,900 ",96,"Melbourne, VIC",https://www.facebook.com/marketplace/item/443837275127415,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450385556_501436332559492_5394421638996427303_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=ObgsrKFHlUIQ7kNvgGuIuaa&_nc_ht=scontent.fmel16-1.fna&oh=00_AYC5jekhRX0qA38ccnmEE0ftozMdzhyf2HdF2XPunTNk8Q&oe=66B8E64C
2018,Toyota,hiace,," $32,999 ",98,"Melbourne, VIC",https://www.facebook.com/marketplace/item/374956158615321,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/428626492_394719933502168_3096545209475806748_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=110&ccb=1-7&_nc_sid=454cf4&_nc_ohc=mqafsS4wDoEQ7kNvgEbClSk&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDb060yqJYYhzqqJzZwFoYJ6pHLRq1TrKKJB-ABI2zJ2Q&oe=66B8ECC7
1991,Toyota,hiace,," $5,000 ",100,"Donnybrook, VIC",https://www.facebook.com/marketplace/item/2054883351552632,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/441500779_10228644289645041_6606188303370165098_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=101&ccb=1-7&_nc_sid=454cf4&_nc_ohc=XBk7l6fXLWkQ7kNvgFIjucA&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDt7G9A9GGBC0Fp4XoIDE1a-Z8MxN_LyoSJUCKyZXu7QQ&oe=66B8F75F
2008,Toyota,hiace,," $15,000 ",100,"Melbourne, VIC",https://www.facebook.com/marketplace/item/25772962815628027,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/439139781_2448713771979512_4428199784871618164_n.jpg?stp=c63.0.260.260a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=d5vvmcVjf94Q7kNvgHY-lYX&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAiveDtdEU95jr9kheuFqZRymPg-5yM66DzmpNm3oMndA&oe=66B8D43E
2017,Toyota,hiace,," $29,500 ",100,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1123536645398657,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450537415_357221924070142_3610676656029885478_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=_DJUZ1qgIhAQ7kNvgFMz56Y&_nc_ht=scontent.fmel16-1.fna&oh=00_AYB5L3iXs833GeSZ8lc9JallLSpzskgZv0_bsJqiz7gw3w&oe=66B8EE7C
2005,Toyota,hiace,campervan," $49,990 ",100,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1220840005565474,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/449241286_790247969970362_2894073662534710905_n.jpg?stp=c65.0.260.260a_dst-jpg_p261x260&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_ohc=akfaEcCYP_MQ7kNvgEo61TG&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBRqfnjLKZCmfb-rrtZWiX9QlotajgMgguV-Q-06Kwhew&oe=66B8DF01
2016,Toyota,hiace,," $13,245 ",101,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1523601391844961,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/442493378_986458893480041_6376412563718554800_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=247b10&_nc_ohc=6TM1j8w7UWoQ7kNvgEaZblS&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAyCY8QJYkAHj6MmvYPZH_P-iZbAXfncoy2CfsBeEBfaw&oe=66B8C2C9
2018,Toyota,hiace,," $29,250 ",105,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1177537349940444,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/428321904_817271993383571_7462112928932493507_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260&_nc_cat=111&ccb=1-7&_nc_sid=247b10&_nc_ohc=GaalxiOFjIkQ7kNvgHPT5ea&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBDnWBoGGr9ToUUbT4tQKOipQyZw2uuh4ZNElZW-JC-Mg&oe=66B8F370
2017,Toyota,hiace,lwb diesel," $29,900 ",105,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1693824978055347,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/438256112_7564151003633774_2760340971453280175_n.jpg?stp=c37.0.260.260a_dst-jpg_p261x260&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=U959pd5Ih0UQ7kNvgGiFowQ&_nc_ht=scontent.fmel16-1.fna&oh=00_AYADJQ1c9zZAjH2t-GqGcdjyeyMK79AKNdwtmcDFyCzcPw&oe=66B8F300
2016,Toyota,hiace,," $38,990 ",106,"Adelaide, SA",https://www.facebook.com/marketplace/item/1500317284255107,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/448583854_10233195363444591_3724794889512823633_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=OJiTH-upRXUQ7kNvgGmzirZ&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAedTYZ1dMHUKqwlr4tIBXGX9Ifk2oYMVp3_5vPy6_e6g&oe=66B8F8AD
2016,Toyota,hiace,," $27,000 ",107,"Ballarat, VIC",https://www.facebook.com/marketplace/item/2611798269000206,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/449921345_10234498011136854_7429128451603953148_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=JEXTuiUtDpUQ7kNvgH6vOrF&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDfK_GabJ--mgSqR7ZAzwe3O5O7lWraUDkvG0yJvMbYmA&oe=66B8CE33
2015,Toyota,hiace,," $27,000 ",108,"Melbourne, VIC",https://www.facebook.com/marketplace/item/989414649546003,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/448260098_10161868191855555_5561494168815799834_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=TypvZbReDAIQ7kNvgHmxYI9&_nc_ht=scontent.fmel16-1.fna&oh=00_AYD62xMq8gvibIzz6GuCOPN8BzYG8B5C3eJm1X_d-LHC2g&oe=66B8D9EF
